,0
stern,2.0448124120921434
rents,2.0448124120921434
terns,2.0448124120921434
nerts,2.0448124120921434
laser,1.994357546953263
earls,1.994357546953263
reals,1.994357546953263
tears,1.9941345223143507
rates,1.9941345223143507
stare,1.9941345223143507
aster,1.9941345223143507
tares,1.9941345223143507
snarl,1.9786232996869484
trans,1.978400275048036
rants,1.978400275048036
tarns,1.978400275048036
crest,1.9732215030012341
strep,1.9712142812510218
prest,1.9712142812510218
lyres,1.9560486058049724
slyer,1.9560486058049724
tyres,1.95582558116606
treys,1.95582558116606
lards,1.9554287372400494
darts,1.955205712601137
rends,1.9547104579714976
nerds,1.9547104579714976
roles,1.9508530759394984
loser,1.9508530759394984
lores,1.9508530759394984
store,1.950630051300586
terms,1.946235521692823
snort,1.9348958040342714
snare,1.927227130640604
earns,1.927227130640604
nears,1.927227130640604
saner,1.927227130640604
nares,1.927227130640604
least,1.921874539306704
tales,1.921874539306704
steal,1.921874539306704
slate,1.921874539306704
stale,1.921874539306704
teals,1.921874539306704
tesla,1.921874539306704
taels,1.921874539306704
stela,1.921874539306704
riles,1.9184005490631797
liers,1.9184005490631797
slier,1.9184005490631797
tries,1.9181775244242674
tires,1.9181775244242674
rites,1.9181775244242674
tiers,1.9181775244242674
lords,1.9119242662262848
carts,1.9068093659571268
slant,1.9061402920403894
parts,1.9048021442069145
traps,1.9048021442069145
strap,1.9048021442069145
tarps,1.9048021442069145
sprat,1.9048021442069145
prats,1.9048021442069145
reads,1.904032568193705
dares,1.904032568193705
dears,1.904032568193705
slept,1.8989542982433751
pelts,1.8989542982433751
spelt,1.8989542982433751
treks,1.891148435881438
stray,1.8894134441219528
trays,1.8894134441219528
satyr,1.8894134441219528
artsy,1.8894134441219528
darns,1.8882983209273903
nards,1.8882983209273903
rands,1.8882983209273903
solar,1.884440938895391
orals,1.884440938895391
roast,1.8842179142564788
sorta,1.8842179142564788
astro,1.8842179142564788
taros,1.8842179142564788
snore,1.8837226596268393
style,1.8835655981584134
frets,1.883342573519501
lends,1.8824504749638509
tends,1.8822274503249385
dents,1.8822274503249385
marls,1.8800464092876281
smart,1.8798233846487158
marts,1.8798233846487158
trams,1.8798233846487158
dirts,1.8792487147110537
stole,1.8783700682929394
melts,1.8739755386851764
smelt,1.8739755386851764
trash,1.8733556701202536
harts,1.8733556701202536
raths,1.8733556701202536
wrest,1.8708531937404016
strew,1.8708531937404016
trews,1.8708531937404016
rules,1.867863022689222
lures,1.867863022689222
trues,1.8676399980503098
dyers,1.8657236270454143
sport,1.8612976731931499
ports,1.8612976731931499
strop,1.8612976731931499
doers,1.8605280971799403
doser,1.8605280971799403
acres,1.8556362215496947
races,1.8556362215496947
scare,1.8556362215496947
cares,1.8556362215496947
lanes,1.8549671476329572
leans,1.8549671476329572
elans,1.8549671476329572
antes,1.854744122994045
nates,1.854744122994045
spare,1.8536289997994824
spear,1.8536289997994824
pears,1.8536289997994824
reaps,1.8536289997994824
pares,1.8536289997994824
rapes,1.8536289997994824
parse,1.8536289997994824
apers,1.8536289997994824
rails,1.8519884120190724
liars,1.8519884120190724
lairs,1.8519884120190724
liras,1.8519884120190724
rials,1.8519884120190724
turns,1.851905750783995
runts,1.851905750783995
stair,1.85176538738016
astir,1.85176538738016
sitar,1.85176538738016
brats,1.8512762308679171
risen,1.8512701327505205
reins,1.8512701327505205
resin,1.8512701327505205
rinse,1.8512701327505205
siren,1.8512701327505205
herds,1.8496658530437151
shred,1.8496658530437151
sherd,1.8496658530437151
tiles,1.8459175414166207
stile,1.8459175414166207
islet,1.8459175414166207
lites,1.8459175414166207
liest,1.8459175414166207
story,1.8459089731081881
tyros,1.8459089731081881
belts,1.8454283849043778
blest,1.8454283849043778
narcs,1.83990197428338
dolts,1.8394412585797257
years,1.8382402997145206
sayer,1.8382402997145206
resay,1.8382402997145206
storm,1.8363189136349511
morts,1.8363189136349511
talcs,1.8345493829494801
cents,1.8338311036809283
scent,1.8338311036809283
arose,1.8330447698490466
splat,1.8325421611992678
plats,1.8325421611992678
spent,1.831823881930716
leads,1.8317725851860582
deals,1.8317725851860582
dales,1.8317725851860582
lades,1.8317725851860582
lased,1.8317725851860582
dates,1.831549560547146
stead,1.831549560547146
sated,1.831549560547146
crits,1.8308523680670437
lints,1.830183294150306
short,1.8298511991064887
verst,1.829147586263766
strip,1.8288451463168311
trips,1.8288451463168311
sprit,1.8288451463168311
durst,1.8287111883370961
turds,1.8287111883370961
mares,1.8286502402412836
reams,1.8286502402412836
smear,1.8286502402412836
maser,1.8286502402412836
rides,1.8280755703036216
dries,1.8280755703036216
sired,1.8280755703036216
larks,1.8249593234762431
stark,1.8247362988373308
kerns,1.8242410442076913
yarns,1.822506052448206
share,1.8221825257128215
hears,1.8221825257128215
shear,1.8221825257128215
hares,1.8221825257128215
rheas,1.8221825257128215
dregs,1.8195575267905288
sonar,1.817310522582732
arson,1.817310522582732
roans,1.817310522582732
salty,1.817153461114306
rafts,1.8169304364753938
frats,1.8169304364753938
farts,1.8169304364753938
cards,1.816707411836481
ferns,1.8164351818457543
nerfs,1.8164351818457543
lands,1.8160383379197436
stand,1.8158153132808312
preys,1.8153200586511917
pyres,1.8153200586511917
pards,1.8147001900862687
rinds,1.8123413230373069
score,1.8121317505359302
cores,1.8121317505359302
altos,1.811957931248832
lotsa,1.811957931248832
noels,1.8114626766191926
stone,1.8112396519802803
notes,1.8112396519802803
tones,1.8112396519802803
onset,1.8112396519802803
steno,1.8112396519802803
felts,1.8110825905118544
lefts,1.8110825905118544
ropes,1.8101245287857177
prose,1.8101245287857177
spore,1.8101245287857177
pores,1.8101245287857177
poser,1.8101245287857177
roils,1.8084839410053077
riots,1.8082609163663954
trios,1.8082609163663954
tiros,1.8082609163663954
torsi,1.8082609163663954
malts,1.807563401641069
sperm,1.8057299991779547
perms,1.8057299991779547
straw,1.8044410566962943
warts,1.8044410566962943
swart,1.8044410566962943
wrens,1.8039458020666548
trims,1.8038663867586324
sutra,1.8012278610062025
halts,1.801095687112607
shalt,1.801095687112607
laths,1.801095687112607
nurse,1.800732606376563
runes,1.800732606376563
raise,1.800592242972728
arise,1.800592242972728
thens,1.800377407844055
bears,1.800103086460485
saber,1.800103086460485
baser,1.800103086460485
bares,1.800103086460485
sabre,1.800103086460485
braes,1.800103086460485
yards,1.799311490001307
drays,1.799311490001307
welts,1.798593210732755
shirt,1.79739867223017
scorn,1.7963975032696156
corns,1.7963975032696156
lutes,1.795380015042663
yores,1.794735828700756
roads,1.794115960135833
gears,1.7920741994596352
rages,1.7920741994596352
sarge,1.7920741994596352
sager,1.7920741994596352
colts,1.7910449119357157
clots,1.7910449119357157
drams,1.78972143052807
mrads,1.78972143052807
plots,1.7890376901855032
doles,1.7882681141722936
lodes,1.7882681141722936
soled,1.7882681141722936
dotes,1.7880450895333813
doest,1.7880450895333813
mores,1.785145769227519
rains,1.7848579957064132
barns,1.7843688391941703
brans,1.7843688391941703
shyer,1.7838735845645308
melds,1.7838735845645306
scale,1.783376238542048
laces,1.783376238542048
shard,1.7832537159996078
caste,1.7831532139031356
leaps,1.7813690167918357
lapse,1.7813690167918357
pleas,1.7813690167918357
pales,1.7813690167918357
peals,1.7813690167918357
sepal,1.7813690167918357
stork,1.7812318278235661
paste,1.7811459921529234
tapes,1.7811459921529234
spate,1.7811459921529234
septa,1.7811459921529234
pates,1.7811459921529234
peats,1.7811459921529234
curls,1.7805378663319984
crust,1.780314841693086
cries,1.7796792236596115
rices,1.7796792236596115
icers,1.7796792236596115
tails,1.7795054043725134
blast,1.7790162478602705
blats,1.7790162478602705
lines,1.7790101497428739
liens,1.7790101497428739
tines,1.7787871251039615
inset,1.7787871251039615
stein,1.7787871251039615
horse,1.7786780546990566
shore,1.7786780546990566
heros,1.7786780546990566
shoer,1.7786780546990566
hoers,1.7786780546990566
slurp,1.778530644581786
purls,1.778530644581786
spurt,1.7783076199428736
turps,1.7783076199428736
bents,1.7782979685917186
piers,1.777672001909399
spire,1.777672001909399
pries,1.777672001909399
prise,1.777672001909399
spier,1.777672001909399
tribs,1.7753192329778336
rakes,1.7735631544298986
asker,1.7735631544298986
frost,1.7734259654616291
forts,1.7734259654616291
cords,1.7732029408227166
scrod,1.7732029408227166
drops,1.771195719072504
prods,1.771195719072504
glens,1.7704921062297811
gents,1.7702690815908688
morns,1.7694115219612043
norms,1.7694115219612043
greps,1.7691539583963063
clans,1.7676419912757333
girls,1.7675133706158963
scant,1.767418966636821
canst,1.767418966636821
cants,1.767418966636821
grits,1.767290345976984
grist,1.767290345976984
girts,1.767290345976984
scrap,1.7663038434422584
carps,1.7663038434422584
scarp,1.7663038434422584
craps,1.7663038434422584
fears,1.7657572920679616
safer,1.7657572920679616
yeast,1.7657572920679616
fares,1.7657572920679616
plans,1.765634769525521
pants,1.7654117448866087
sedan,1.764642168873399
deans,1.764642168873399
molts,1.7640589306273045
surly,1.7631419444968242
horns,1.762943807432742
shorn,1.762943807432742
shnor,1.762943807432742
rusty,1.7629189198579118
yurts,1.7629189198579118
byres,1.7617941453121944
raids,1.7616634332595142
bards,1.7611742767472713
brads,1.7611742767472713
drabs,1.7611742767472713
worst,1.7609365856825296
trows,1.7609365856825296
worts,1.7609365856825296
aloes,1.7607847868414
stoae,1.7605617622024876
reels,1.7584487757285068
leers,1.7584487757285068
trees,1.7582257510895944
steer,1.7582257510895944
rests,1.7582257510895944
ester,1.7582257510895944
terse,1.7582257510895944
tress,1.7582257510895944
reset,1.7582257510895944
ranks,1.757828907163584
snark,1.757828907163584
tours,1.7577233899924378
routs,1.7577233899924378
torus,1.7577233899924378
roust,1.7577233899924378
sloth,1.757591216098842
osier,1.7570877719589633
robes,1.7565986154467201
sober,1.7565986154467201
bores,1.7565986154467201
split,1.7565851633091845
spilt,1.7565851633091845
meals,1.756390257233637
males,1.756390257233637
lames,1.756390257233637
steam,1.7561672325947246
teams,1.7561672325947246
meats,1.7561672325947246
mates,1.7561672325947246
tames,1.7561672325947246
slide,1.7558155872959749
sidle,1.7558155872959749
idles,1.7558155872959749
delis,1.7558155872959749
tides,1.7555925626570625
diets,1.7555925626570625
edits,1.7555925626570625
sited,1.7555925626570625
deist,1.7555925626570625
diest,1.7555925626570625
stied,1.7555925626570625
